features,Cluster.Index,M/Z,RT,Annotation,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,ppm.error,Analog?,Nearest.Neighbors,Proximity,CF_class,CF_Dparent,CF_kingdom,CF_MFramework,CF_subclass,CF_superclass,fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
X443.2493_2.07_1871,1871,443.2493,2.07,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA
X406.255_2.19_1872,1872,406.255,2.19,Spectral Match to Leu-Val-Lys from NIST14,0.721018,9,452.238,130795,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes
X366.2015_2.23_1873,1873,366.2015,2.23,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA
X278.1963_2.13_1878,1878,278.1963,2.13,Spectral Match to Val-Leu-Lys from NIST14,0.755061,8,375.248,544360,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA
X294.1913_2.09_1888,1888,294.1913,2.09,Spectral Match to Phe-Val-Lys from NIST14,0.732209,8,390.246,492380,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
X625.3009_2.6_1891,1891,625.3009,2.6,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA
X415.2911_2.33_1892,1892,415.2911,2.33,Spectral Match to Leu-Leu from NIST14,0.779694,9,74.0729,151366,Yes,Spectral Match to Ile-Gly-Ile from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA
X345.2763_3.46_1893,1893,345.2763,3.46,Spectral Match to 15-OxoEDE from NIST14,0.780077,9,40.0283,131134,Yes,"Spectral Match to 20-Hydroxy-(5Z,8Z,11Z,14Z)-eicosatetraenoic acid from NIST14",First Analog,Prenol lipids,Sesquiterpenoids,Organic compounds,Aliphatic homomonocyclic compounds,Sesquiterpenoids,Lipids and lipid-like molecules,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA
X589.2852_2.37_1898,1898,589.2852,2.37,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes
X341.1461_2.42_1901,1901,341.1461,2.42,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA
X468.3438_3.01_1904,1904,468.3438,3.01,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA
X420.2234_2.14_1905,1905,420.2234,2.14,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes
X495.3283_2.27_1908,1908,495.3283,2.27,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,Yes,Yes,NA
X324.3245_3.39_1910,1910,324.3245,3.39,"Spectral Match to 13-Docosenamide, (Z)- from NIST14",0.821205,9,14.0165,41427.2,Yes,Spectral Match to Palmitelaidic acid from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,Yes,NA,NA,NA,Yes
X368.2173_2.33_1912,1912,368.2173,2.33,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,NA,NA,NA,Yes,NA
X921.5711_2.83_1915,1915,921.5711,2.83,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes
X473.2475_2.14_1916,1916,473.2475,2.14,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X287.1839_2.13_1917,1917,287.1839,2.13,Spectral Match to Leu-Val-Lys from NIST14,0.827852,10,214.096,200635,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X413.2755_2.31_1918,1918,413.2755,2.31,Spectral Match to Ile-Pro-Ile from NIST14,0.89935,6,71.0365,207564,Yes,Spectral Match to Ile-Pro-Ile from NIST14,First,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,Yes,NA
X524.4285_2.97_1919,1919,524.4285,2.97,"""1,2-DIDECANOYL-SN-GLYCERO-3-PHOSPHOCHOLINE""",0.914762,5,41.9535,74072.8,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X226.0446_0.29_1924,1924,226.0446,0.29,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,Yes,NA,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,NA
X351.2127_2.12_1925,1925,351.2127,2.12,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X371.1916_2.14_1927,1927,371.1916,2.14,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,NA,Yes,Yes,NA,NA,NA,Yes,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA
X482.2267_2.52_1929,1929,482.2267,2.52,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X454.3505_2.67_1932,1932,454.3505,2.67,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,NA,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes
X213.1227_2.43_1935,1935,213.1227,2.43,Spectral Match to Pro-Val from NIST14,0.901168,4,2.01631,9372.13,Yes,Spectral Match to Pro-Phe from NIST14,First Analog,Carboxylic acids and derivatives,Phenylalanine and derivatives,Organic compounds,Aromatic homomonocyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA
X223.1071_0.82_1938,1938,223.1071,0.82,Spectral Match to Gly-Phe from NIST14,0.859902,4,0.00389099,17.4397,No,Self-Loop,Self-Loop,Carboxylic acids and derivatives,Peptides,Organic compounds,Aliphatic acyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes
X484.2425_2.53_1939,1939,484.2425,2.53,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X369.2407_2.71_1940,1940,369.2407,2.71,NA,NA,NA,NA,NA,No,"""(4R)-4-((3R,5S,6S,7R,8R,9S,10R,12S,13R,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Second,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes
X272.1965_2.16_1942,1942,272.1965,2.16,Spectral Match to Leu-Val from NIST14,0.821464,7,312.215,177468,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes
X295.0654_0.32_1943,1943,295.0654,0.32,NA,NA,NA,NA,NA,No,"Spectral Match to Adenosine 2',3'-cyclic monophosphate from NIST14",Second Analog,Tetrapyrroles and derivatives,Bilirubins,Organic compounds,Aromatic heteromonocyclic compounds,Bilirubins,Organoheterocyclic compounds,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X165.0904_3.41_1945,1945,165.0904,3.41,Spectral Match to .alpha.-CMBHC from NIST14,0.857806,5,0.00660706,40.0192,No,Spectral Match to .alpha.-CMBHC from NIST14,First,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,Yes,NA,Yes
X605.2949_2.5_1946,1946,605.2949,2.5,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,NA,Yes
X913.5283_2.55_1947,1947,913.5283,2.55,"""(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",0.725494,12,63.9563,75280.6,Yes,"""(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",First,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,NA,Yes
X321.1436_2.38_1949,1949,321.1436,2.38,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,NA,NA
X442.2778_2.49_1950,1950,442.2778,2.49,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes
X470.264_2.39_1951,1951,470.264,2.39,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
X813.5467_2.61_1954,1954,813.5467,2.61,NA,NA,NA,NA,NA,No,"""(4R)-4-((3R,5R,6R,7S,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",First Analog,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X396.3453_3.31_1956,1956,396.3453,3.31,Massbank:RP029702 N-Oleyl-Leucine|N-oleoyl leucine|(2S)-4-methyl-2-[[(Z)-octadec-9-enoyl]amino]pentanoic acid,0.908392,6,0.00167847,4.23484,No,Massbank:RP029903 N-Oleoyl-Phenylalanine|N-oleoyl phenylalanine|(2S)-2-[[(Z)-octadec-9-enoyl]amino]-3-phenylpropanoic acid,First,Carboxylic acids and derivatives,Leucine and derivatives,Organic compounds,Aliphatic acyclic compounds,"Amino acids, peptides, and analogues",Organic acids and derivatives,Yes,NA,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,Yes,Yes,NA,Yes,NA,NA,NA,Yes,NA,Yes
X335.1942_2.53_1960,1960,335.1942,2.53,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X389.3031_3.23_1962,1962,389.3031,3.23,Spectral Match to .alpha.-CMBHC from NIST14,0.860546,6,68.0971,212004,Yes,alpha-TOCHOPHERYL ACETATE,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,NA
X367.7325_2.31_1963,1963,367.7325,2.31,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X180.1018_2.37_1964,1964,180.1018,2.37,N-ACETYL-L-PHENYLALANINE - 30.0 eV,0.854461,5,27.9952,134530,Yes,N-ACETYL-L-PHENYLALANINE - 30.0 eV,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes
X414.356_2.97_1965,1965,414.356,2.97,Palmitoylcarnitine -  eV,0.9432,7,14.014,35005,Yes,Palmitoylcarnitine -  eV,First Analog,Fatty Acyls,Acyl carnitines,Organic compounds,Aliphatic acyclic compounds,Fatty acid esters,Lipids and lipid-like molecules,Yes,NA,NA,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,NA,Yes
X225.1414_2.25_1969,1969,225.1414,2.25,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,Yes,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA
X305.185_2.42_1976,1976,305.185,2.42,NA,NA,NA,NA,NA,No,NA,None,Tetrapyrroles and derivatives,Bilirubins,Organic compounds,Aromatic heteromonocyclic compounds,Bilirubins,Organoheterocyclic compounds,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes
X347.7156_2.3_1978,1978,347.7156,2.3,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X218.1383_0.39_1979,1979,218.1383,0.39,PROPIONYLCARNITINE,0.859212,4,0.000701904,3.21769,No,PROPIONYLCARNITINE,First,Fatty Acyls,Acyl carnitines,Organic compounds,Aliphatic acyclic compounds,Fatty acid esters,Lipids and lipid-like molecules,NA,Yes,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,Yes
X435.3453_3.16_1981,1981,435.3453,3.16,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA
X321.256_2.83_1984,1984,321.256,2.83,Spectral Match to Sumaresinolic acid from NIST14,0.745977,11,92.06,401665,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,NA,Yes,NA,Yes,NA,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,NA
X903.5214_2.83_1985,1985,903.5214,2.83,"""(R)-4-((3R,5R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pent-2-enoic acid""",0.851905,7,99.9784,124422,Yes,"""(4R)-4-((5S,7R,9S,10S,13R,14S,17R)-7-hydroxy-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",First,Steroids and steroid derivatives,"Dihydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,NA,NA,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes
X877.5078_2.64_1986,1986,877.5078,2.64,NA,NA,NA,NA,NA,No,"""(4R)-4-((3R,5R,6S,7R,9S,10R,12S,13R,14S,17R)-3,6,7,12-tetrahydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",Second,Steroids and steroid derivatives,"Tetrahydroxy bile acids, alcohols and derivatives",Organic compounds,Aliphatic homopolycyclic compounds,"Bile acids, alcohols and derivatives",Lipids and lipid-like molecules,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Yes,NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes
X457.2655_2.32_1987,1987,457.2655,2.32,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,Yes,Yes,Yes,NA,NA,NA,Yes,NA,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,NA,Yes,Yes,NA
X146.0598_0.83_1988,1988,146.0598,0.83,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
X232.1_2.34_1989,1989,232.1,2.34,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA
X581.313_2.23_1990,1990,581.313,2.23,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
