features,Cluster.Index,M.Z,RT,Annotation,Cosine.Score,No..of.Shared.Peaks,Mass.Diff..to.Library.Reference,ppm.error,Analog.,Nearest.Neighbors,Proximity,CF_class,CF_Dparent,CF_kingdom,CF_MFramework,CF_subclass,CF_superclass,fch_147L_147V,fch_147L_147WG,fch_147L_165L,fch_147L_165V,fch_147L_165WG,fch_147L_291L,fch_147L_291V,fch_147L_291WG,fch_147V_147WG,fch_147V_165L,fch_147V_165V,fch_147V_165WG,fch_147V_291L,fch_147V_291V,fch_147V_291WG,fch_147WG_165L,fch_147WG_165V,fch_147WG_165WG,fch_147WG_291L,fch_147WG_291V,fch_147WG_291WG,fch_165L_165V,fch_165L_165WG,fch_165L_291L,fch_165L_291V,fch_165L_291WG,fch_165V_165WG,fch_165V_291L,fch_165V_291V,fch_165V_291WG,fch_165WG_291L,fch_165WG_291V,fch_165WG_291WG,fch_291L_291V,fch_291L_291WG,fch_291V_291WG
X445.3296_3.2_3195,3195,445.3296,3.2,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No
X447.3086_3_2365,2365,447.3086,3,Massbank:NA001116 Tomatidine,0.708268,11,30.9566,74352,Yes,"Massbank:NA002698 Diosgenin|(1S,2S,4S,5`R,6R,7S,8R,9S,12S,13R,16S)-5`,7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-ene-6,2`-oxane]-16-ol",First Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
X447.3091_3.03_8447,8447,447.3091,3.03,NA,NA,NA,NA,NA,No,"Massbank:NA002698 Diosgenin|(1S,2S,4S,5`R,6R,7S,8R,9S,12S,13R,16S)-5`,7,9,13-tetramethylspiro[5-oxapentacyclo[10.8.0.02,9.04,8.013,18]icos-18-ene-6,2`-oxane]-16-ol",First Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
X447.345_3.13_4940,4940,447.345,3.13,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X447.3453_3.29_3028,3028,447.3453,3.29,Methyl Deoxycholate,0.709407,9,40.0293,98275.8,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
X449.2135_2.6_8631,8631,449.2135,2.6,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X449.3243_2.78_3090,3090,449.3243,2.78,NA,NA,NA,NA,NA,No,Massbank:NA001116 Tomatidine,Second Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes
X449.3244_2.68_7341,7341,449.3244,2.68,NA,NA,NA,NA,NA,No,Massbank:NA001116 Tomatidine,Third Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X449.3245_2.85_3249,3249,449.3245,2.85,NA,NA,NA,NA,NA,No,"NCGC00386027-01_C27H42O3_Spirost-5-en-3-ol, (3beta,25R)-",Second Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes
X451.3773_3.42_7996,7996,451.3773,3.42,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No
X452.2037_2.2_9352,9352,452.2037,2.2,Spectral Match to Lyso-PC(16:0) from NIST14,0.912783,6,44.1253,88903.3,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X455.3329_3.21_9071,9071,455.3329,3.21,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,Yes,No
X463.3034_2.63_3031,3031,463.3034,2.63,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes
X463.3034_2.76_4008,4008,463.3034,2.76,NA,NA,NA,NA,NA,No,Massbank:NA001116 Tomatidine,Second Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X471.3449_2.75_4619,4619,471.3449,2.75,NA,NA,NA,NA,NA,No,Glochidone,First Analog,Prenol lipids,Triterpenoids,Organic compounds,Aliphatic homopolycyclic compounds,Triterpenoids,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X474.248_2.74_4111,4111,474.248,2.74,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X477.2091_2.38_6951,6951,477.2091,2.38,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X477.3925_3.41_3134,3134,477.3925,3.41,osmanthuside H,0.703219,5,6.26648,13301.1,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,Yes
X478.2913_2.85_6377,6377,478.2913,2.85,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes
X491.3713_3.19_2514,2514,491.3713,3.19,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X500.2758_2.81_7384,7384,500.2758,2.81,NA,NA,NA,NA,NA,No,PE(22:6/0:0); [M+H]+ C27H45N1O7P1,First Analog,Glycerophospholipids,"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines",Organic compounds,Aliphatic acyclic compounds,Glycerophosphoethanolamines,Lipids and lipid-like molecules,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes
X510.3905_3.03_3063,3063,510.3905,3.03,Spectral Match to Lyso-PAF C-18 from NIST14,0.940917,7,0.000488281,0.956681,No,Spectral Match to 1-Hexadecyl-sn-glycero-3-phosphocholine from NIST14,First,Glycerophospholipids,1-(1Z-alkenyl)-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No
X511.3592_3.32_10116,10116,511.3592,3.32,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
X512.3336_2.81_5890,5890,512.3336,2.81,Spectral Match to Lyso-PC(16:0) from NIST14,0.946012,6,16.0046,32246,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X516.3051_2.83_9051,9051,516.3051,2.83,Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,0.944278,9,28.0319,51497.3,Yes,Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14,First,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X518.3225_2.82_1277,1277,518.3225,2.82,Massbank:PR310841 LPC 18:3,0.73016,7,0.003479,6.712,No,Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14,First,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X522.7973_2.9_9130,9130,522.7973,2.9,Spectral Match to Lyso-PC(16:0) from NIST14,0.9048,11,548.248,53306.9,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X526.2913_2.85_4038,4038,526.2913,2.85,PE(22:6/0:0); [M+H]+ C27H45N1O7P1,0.75138,11,1.00531,1913.83,Yes,NA,None,Glycerophospholipids,"1-(1Z-alkenyl),2-acylglycerophosphoethanolamines",Organic compounds,Aliphatic acyclic compounds,Glycerophosphoethanolamines,Lipids and lipid-like molecules,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
X532.336_2.95_9135,9135,532.336,2.95,Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14,0.9227,8,0.000976562,1.83448,No,Spectral Match to 1-Octadecanoyl-sn-glycero-3-phosphocholine from NIST14,First,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
X560.3668_3.04_9237,9237,560.3668,3.04,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,0.93267,8,42.0458,81119.3,Yes,Spectral Match to 1-Heptadecanoyl-sn-glycero-3-phosphocholine from NIST14,First,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No
X564.304_2.81_9730,9730,564.304,2.81,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,0.901742,7,45.983,88715.4,Yes,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,First Analog,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes
X565.2176_2.24_9066,9066,565.2176,2.24,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X566.3202_2.87_8042,8042,566.3202,2.87,Spectral Match to Lyso-PC(16:0) from NIST14,0.867964,7,69.9912,141018,Yes,Self-Loop,Self-Loop,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No
X578.4162_3.13_3096,3096,578.4162,3.13,Spectral Match to Lyso-PC(16:0) from NIST14,0.950722,7,82.0872,165389,Yes,Self-Loop,Self-Loop,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
X583.2526_2.67_3712,3712,583.2526,2.67,Biliverdin,0.877011,17,0.00238037,4.08118,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X590.3073_2.53_9682,9682,590.3073,2.53,Spectral Match to Lyso-PC(16:0) from NIST14,0.953109,8,93.9783,189347,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X590.3197_2.86_9649,9649,590.3197,2.86,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,0.917816,8,71.9987,138908,Yes,Spectral Match to 1-Hexadecanoyl-sn-glycero-3-phosphocholine from NIST14,First Analog,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
X592.3225_2.55_8217,8217,592.3225,2.55,Spectral Match to Lyso-PC(16:0) from NIST14,0.941373,7,95.9935,193407,Yes,Self-Loop,Self-Loop,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X595.4317_3.87_9306,9306,595.4317,3.87,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X596.4662_3.61_9308,9308,596.4662,3.61,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X605.314_4.01_10145,10145,605.314,4.01,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X606.4474_3.26_3184,3184,606.4474,3.26,Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,0.933192,6,84.0874,160976,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No
X608.3184_2.4_4935,4935,608.3184,2.4,Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,0.916538,7,85.9584,164558,Yes,Self-Loop,Self-Loop,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X623.3239_4_10147,10147,623.3239,4,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X628.4969_3.18_10122,10122,628.4969,3.18,NA,NA,NA,NA,NA,No,Spectral Match to Undecaethylene glycol from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X657.2011_2.71_8426,8426,657.2011,2.71,NA,NA,NA,NA,NA,No,Spectral Match to Hemin cation from NIST14,First,Tetrapyrroles and derivatives,Porphyrins,Organic compounds,Aromatic heteropolycyclic compounds,Porphyrins,Organoheterocyclic compounds,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No
X673.5249_3.3_9841,9841,673.5249,3.3,Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,0.941202,7,59.0281,80578.6,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No
X674.4362_3.02_8567,8567,674.4362,3.02,"Spectral Match to 1,2-Di-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine from NIST14",0.920047,5,0.00579834,8.59724,No,Self-Loop,Self-Loop,Glycerophospholipids,Phosphatidylcholines,Organic compounds,Aliphatic acyclic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X677.5479_4.09_9570,9570,677.5479,4.09,"""(9S,10R,13R,14S,17R)-10,13-dimethyl-17-((R)-6-methylheptan-2-yl)-1,2,8,9,10,11,12,13,14,15,16,17-dodecahydro-3H-cyclopenta[a]phenanthren-3-one""",0.708036,8,88.1061,115073,Yes,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X681.8574_2.22_9039,9039,681.8574,2.22,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
X690.3242_2.29_6174,6174,690.3242,2.29,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X691.3105_3.27_9326,9326,691.3105,3.27,Spectral Match to 1-Myristoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14,0.887064,6,15.2285,21553.7,Yes,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X732.5512_3.71_9851,9851,732.5512,3.71,Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,0.955708,7,0.00177002,2.41623,No,Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,First,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
X733.5345_3.72_9514,9514,733.5345,3.72,Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,0.814592,6,0.981506,1339.84,Yes,Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X735.5507_3.77_9518,9518,735.5507,3.77,Spectral Match to 1-Hexadecyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,0.729001,8,11.0182,14758.5,Yes,Spectral Match to 1-(9Z-Octadecenoyl)-2-tetradecanoyl-sn-glycero-3-phosphocholine from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X754.5949_3.96_9302,9302,754.5949,3.96,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X755.5168_3.88_9596,9596,755.5168,3.88,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X764.6159_4.78_9837,9837,764.6159,4.78,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes
X764.6162_4.36_9228,9228,764.6162,4.36,NA,NA,NA,NA,NA,No,NA,None,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X766.6305_4.8_9226,9226,766.6305,4.8,NA,NA,NA,NA,NA,No,Self-Loop,Self-Loop,no matches,no matches,no matches,no matches,no matches,no matches,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X773.5277_3.87_9322,9322,773.5277,3.87,Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,0.786485,6,9.04028,11552.1,Yes,Spectral Match to Arachidonoylthio-PC from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No
X775.5437_4.06_9547,9547,775.5437,4.06,Spectral Match to 1-Oleoyl-2-palmitoyl-sn-glycero-3-phosphocholine from NIST14,0.834819,8,14.9617,19671.4,Yes,Spectral Match to N-Tetracosanoyl-4-sphingenyl-1-O-phosphorylcholine from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
X775.5446_4.15_9732,9732,775.5446,4.15,Spectral Match to Arachidonoylthio-PC from NIST14,0.771968,8,9.03937,11521.2,Yes,Spectral Match to 1-Hexadecanoyl-2-(9Z-octadecenoyl)-sn-glycero-3-phosphocholine from NIST14,First Analog,no matches,no matches,no matches,no matches,no matches,no matches,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
